Country Name,Regional Indicator,Year,Life Ladder,Logged GDP Per Capita,Social Support,Healthy Life Expectancy At Birth,Freedom To Make Life Choices,Generosity,Perceptions Of Corruption
Cambodia,Southeast Asia,2006,3.5687,7.7464,0.7931,57.64,,0.2535,0.8292
Cambodia,Southeast Asia,2007,4.156,7.8263,0.6751,57.98,0.8187,0.1139,0.8785
Cambodia,Southeast Asia,2008,4.4622,7.8745,0.6193,58.32,0.9142,0.0439,0.8884
Cambodia,Southeast Asia,2009,4.1106,7.8602,0.8183,58.66,0.9372,0.151,0.9648
Cambodia,Southeast Asia,2010,4.1411,7.9036,0.6972,59.0,0.9401,0.3483,0.8957
Cambodia,Southeast Asia,2011,4.1612,7.9574,0.7155,59.34,0.9275,0.4168,0.7754
Cambodia,Southeast Asia,2012,3.8987,8.0135,0.6055,59.68,0.9556,0.2448,0.8901
Cambodia,Southeast Asia,2013,3.6745,8.0701,0.6506,60.02,0.9406,0.1617,0.812
Cambodia,Southeast Asia,2014,3.8833,8.1251,0.6934,60.36,0.9375,0.2371,0.8426
Cambodia,Southeast Asia,2015,4.1622,8.179,0.7286,60.7,0.9563,0.2076,0.8251
Cambodia,Southeast Asia,2016,4.4613,8.2327,0.7459,60.9,0.9578,0.0734,0.8404
Cambodia,Southeast Asia,2017,4.5858,8.2872,0.7651,61.1,0.9638,0.085,0.821
Cambodia,Southeast Asia,2018,5.1218,8.347,0.7946,61.3,0.9583,0.0323,
Cambodia,Southeast Asia,2019,4.9983,8.4039,0.7592,61.5,0.9568,0.0097,0.8284
Cambodia,Southeast Asia,2020,4.377,8.3608,0.7244,61.7,0.9631,0.0503,0.8631
Cambodia,Southeast Asia,2021,4.5551,8.379,0.7128,61.9,0.9651,0.015,0.8444
Cambodia,Southeast Asia,2022,4.2503,8.4146,0.7836,62.1,0.9462,0.1541,0.8597
China,East Asia,2006,4.5605,8.6961,0.747,65.66,,,
China,East Asia,2007,4.8629,8.824,0.8109,65.92,,-0.1789,
China,East Asia,2008,4.8463,8.911,0.7483,66.18,0.8531,-0.0952,
China,East Asia,2009,4.4544,8.9958,0.798,66.44,0.7711,-0.1633,
China,East Asia,2010,4.6527,9.0921,0.7678,66.7,0.8048,-0.1362,
China,East Asia,2011,5.0372,9.1778,0.7872,66.96,0.8242,-0.1893,
China,East Asia,2012,5.0949,9.2467,0.7878,67.22,0.8083,-0.1875,
China,East Asia,2013,5.2411,9.3149,0.7779,67.48,0.8047,-0.1605,
China,East Asia,2014,5.1956,9.3802,0.8204,67.74,,-0.2195,
China,East Asia,2015,5.3039,9.4424,0.7937,68.0,,-0.2471,
China,East Asia,2016,5.325,9.5029,0.7417,68.125,,-0.2303,
China,East Asia,2017,5.0991,9.5641,0.772,68.25,0.8776,-0.1776,
China,East Asia,2018,5.1314,9.6247,0.7876,68.375,0.8954,-0.1613,
China,East Asia,2019,5.1441,9.679,0.8219,68.5,0.9274,-0.1758,
China,East Asia,2020,5.7711,9.6987,0.8083,68.625,0.8911,-0.1064,
China,East Asia,2021,5.8629,9.7758,0.856,68.75,0.8748,0.0221,
Hong Kong S.A.R. of China,East Asia,2006,5.5112,10.7464,0.8122,,0.9098,0.1513,0.356
Hong Kong S.A.R. of China,East Asia,2008,5.1373,10.8155,0.8402,,0.9222,0.2919,0.2739
Hong Kong S.A.R. of China,East Asia,2009,5.3971,10.7885,0.8347,,0.918,0.3033,0.2721
Hong Kong S.A.R. of China,East Asia,2010,5.6428,10.8466,0.8573,,0.8904,0.3276,0.2558
Hong Kong S.A.R. of China,East Asia,2011,5.474,10.8869,0.8461,,0.8943,0.2302,0.2449
Hong Kong S.A.R. of China,East Asia,2012,5.4838,10.8927,0.8264,,0.8798,0.218,0.3798
Hong Kong S.A.R. of China,East Asia,2014,5.4581,10.9395,0.8336,,0.8431,0.2194,0.423
Hong Kong S.A.R. of China,East Asia,2016,5.4984,10.9699,0.8321,,0.7997,0.0958,0.4028
Hong Kong S.A.R. of China,East Asia,2017,5.3625,10.9995,0.8311,,0.8307,0.1356,0.4158
Hong Kong S.A.R. of China,East Asia,2019,5.6593,10.9952,0.8558,,0.7269,0.0632,0.432
Hong Kong S.A.R. of China,East Asia,2020,5.2953,10.9311,0.8129,,0.7055,-0.0742,0.3804
Hong Kong S.A.R. of China,East Asia,2021,5.3216,11.0017,0.8211,,0.6686,0.0224,0.3896
Indonesia,Southeast Asia,2006,4.947,8.8393,0.771,60.32,0.7132,0.3456,0.9151
Indonesia,Southeast Asia,2007,5.1012,8.8877,0.7038,60.54,0.6033,0.3095,0.9599
Indonesia,Southeast Asia,2008,4.8153,8.933,0.6751,60.76,0.5956,0.1622,0.9682
Indonesia,Southeast Asia,2009,5.4724,8.9656,0.7794,60.98,0.7838,0.1887,0.9109
Indonesia,Southeast Asia,2010,5.4573,9.0134,0.816,61.2,0.6997,0.4454,0.954
Indonesia,Southeast Asia,2011,5.1726,9.0607,0.825,61.42,0.8783,0.4357,0.9623
Indonesia,Southeast Asia,2012,5.3678,9.1067,0.8336,61.64,0.7703,0.3517,0.9616
Indonesia,Southeast Asia,2013,5.2922,9.1487,0.7938,61.86,0.7807,0.3735,0.9727
Indonesia,Southeast Asia,2014,5.5974,9.1859,0.9048,62.08,0.7194,0.4053,0.9701
Indonesia,Southeast Asia,2015,5.0428,9.2225,0.8095,62.3,0.7794,0.4685,0.946
Indonesia,Southeast Asia,2016,5.1363,9.261,0.7918,62.425,0.8299,0.4969,0.8897
Indonesia,Southeast Asia,2017,5.0984,9.3004,0.7956,62.55,0.865,0.4848,0.9004
Indonesia,Southeast Asia,2018,5.3403,9.3411,0.8094,62.675,0.8794,0.5088,0.8677
Indonesia,Southeast Asia,2019,5.3465,9.3807,0.8019,62.8,0.8659,0.552,0.8608
Indonesia,Southeast Asia,2020,4.8281,9.3515,0.7509,62.925,0.8533,0.5316,0.9138
Indonesia,Southeast Asia,2021,5.4332,9.3808,0.8169,63.05,0.8849,0.543,0.8451
Indonesia,Southeast Asia,2022,5.5847,9.4254,0.8341,63.175,0.9033,0.5188,0.8617
Japan,East Asia,2005,6.5158,10.5519,0.9277,72.4,0.8678,,0.6989
Japan,East Asia,2007,6.2382,10.5785,0.9381,72.64,0.7961,-0.0956,0.8092
Japan,East Asia,2008,5.9107,10.5657,0.8873,72.76,0.7721,-0.1405,0.8165
Japan,East Asia,2009,5.845,10.5072,0.8884,72.88,0.7299,-0.2151,0.7401
Japan,East Asia,2010,6.0568,10.5472,0.9019,73.0,0.7717,-0.1454,0.7696
Japan,East Asia,2011,6.2628,10.5493,0.9167,73.12,0.8144,-0.0571,0.7338
Japan,East Asia,2012,5.9682,10.5645,0.9053,73.24,0.7528,,0.6924
Japan,East Asia,2013,5.9594,10.5858,0.9237,73.36,0.8214,-0.1521,0.6505
Japan,East Asia,2014,5.9226,10.5901,0.9,73.48,0.8381,-0.1445,0.6175
Japan,East Asia,2015,5.8797,10.6066,0.9227,73.6,0.8317,-0.1606,0.6544
Japan,East Asia,2016,5.9547,10.6147,0.8998,73.725,0.8361,-0.0676,0.6976
Japan,East Asia,2017,5.9107,10.6321,0.882,73.85,0.8494,-0.2111,0.6592
Japan,East Asia,2018,5.7936,10.6392,0.8864,73.975,0.7735,-0.2666,0.6868
Japan,East Asia,2019,5.908,10.6382,0.8777,74.1,0.8065,-0.2593,0.6172
Japan,East Asia,2020,6.118,10.595,0.8872,74.225,0.806,-0.264,0.6087
Japan,East Asia,2021,6.0913,10.6161,0.8957,74.35,0.8014,-0.2111,0.6695
Japan,East Asia,2022,6.178,10.6362,0.8986,74.475,0.7889,-0.2355,0.643
Laos,Southeast Asia,2006,5.0762,8.2337,0.807,55.88,0.9251,0.4383,0.6878
Laos,Southeast Asia,2007,5.3639,8.2911,0.7896,56.26,0.8665,0.477,0.5801
Laos,Southeast Asia,2008,5.0441,8.3509,0.8071,56.64,0.8862,0.415,0.6374
Laos,Southeast Asia,2011,4.7037,8.5377,0.6909,57.78,0.8816,0.457,0.5873
Laos,Southeast Asia,2012,4.8761,8.6006,0.6926,58.16,,0.2304,
Laos,Southeast Asia,2017,4.6231,8.8834,0.7073,59.9,0.891,0.0709,0.5916
Laos,Southeast Asia,2018,4.8594,8.9288,0.7047,60.2,0.9067,0.1389,0.6342
Laos,Southeast Asia,2019,5.1969,8.967,0.7294,60.5,0.9062,0.0582,0.6202
Laos,Southeast Asia,2020,5.2844,8.9572,0.6604,60.8,0.915,0.1389,0.748
Laos,Southeast Asia,2021,4.9265,8.9679,0.6499,61.1,0.927,0.0402,0.668
Malaysia,Southeast Asia,2006,6.0117,9.8274,0.8659,65.08,0.8368,0.1985,0.7398
Malaysia,Southeast Asia,2007,6.2389,9.8667,0.8715,65.16,0.8436,0.0869,0.7991
